Step,Accuracy,Precision,Recall
60900,0.7608,0.8195,0.8047
61000,0.7607,0.8197,0.8047
61100,0.7607,0.8195,0.8047
61200,0.7607,0.8195,0.8050
61300,0.7606,0.8192,0.8050
61400,0.7606,0.8193,0.8050
61500,0.7605,0.8193,0.8050
61600,0.7605,0.8186,0.8049
61700,0.7605,0.8186,0.8049
61800,0.7606,0.8189,0.8049
61900,0.7607,0.8187,0.8049
62000,0.7607,0.8184,0.8048
62100,0.7607,0.8186,0.8052
62200,0.7606,0.8190,0.8049
62300,0.7607,0.8191,0.8050
62400,0.7607,0.8192,0.8049
62500,0.7606,0.8193,0.8050
62600,0.7608,0.8193,0.8053
62700,0.7607,0.8192,0.8053
62800,0.7608,0.8193,0.8053
62900,0.7608,0.8194,0.8056
63000,0.7608,0.8196,0.8058
63100,0.7607,0.8197,0.8061
63200,0.7608,0.8199,0.8060
63300,0.7607,0.8201,0.8063
63400,0.7609,0.8202,0.8064
63500,0.7609,0.8200,0.8067
63600,0.7611,0.8202,0.8068
63700,0.7611,0.8202,0.8071
63800,0.7612,0.8205,0.8071
63900,0.7612,0.8204,0.8073
64000,0.7612,0.8204,0.8071
64100,0.7613,0.8204,0.8073
64200,0.7614,0.8206,0.8074
64300,0.7613,0.8208,0.8075
64400,0.7614,0.8208,0.8077
64500,0.7614,0.8210,0.8079
64600,0.7614,0.8212,0.8083
64700,0.7615,0.8213,0.8081
64800,0.7615,0.8214,0.8080
64900,0.7616,0.8214,0.8079
65000,0.7616,0.8217,0.8081
65100,0.7616,0.8217,0.8079
65200,0.7616,0.8218,0.8081
65300,0.7616,0.8217,0.8081
65400,0.7616,0.8219,0.8078
65500,0.7616,0.8218,0.8079
65600,0.7616,0.8218,0.8079
65700,0.7616,0.8219,0.8076
65800,0.7616,0.8220,0.8077
65900,0.7616,0.8220,0.8077
66000,0.7615,0.8222,0.8078
66100,0.7616,0.8222,0.8079
66200,0.7616,0.8220,0.8080
66300,0.7616,0.8219,0.8081
66400,0.7616,0.8219,0.8083
66500,0.7616,0.8218,0.8081
66600,0.7616,0.8217,0.8080
66700,0.7616,0.8220,0.8082
66800,0.7616,0.8220,0.8083
66900,0.7616,0.8223,0.8085
67000,0.7616,0.8226,0.8083
67100,0.7616,0.8222,0.8083
67200,0.7616,0.8220,0.8084
67300,0.7617,0.8220,0.8082
67400,0.7616,0.8218,0.8079
67500,0.7616,0.8220,0.8078
67600,0.7615,0.8219,0.8073
67700,0.7615,0.8222,0.8074
67800,0.7615,0.8224,0.8076
67900,0.7616,0.8224,0.8076
68000,0.7617,0.8226,0.8078
68100,0.7617,0.8227,0.8076
68200,0.7617,0.8229,0.8077
68300,0.7617,0.8230,0.8080
68400,0.7617,0.8233,0.8077
68500,0.7617,0.8233,0.8076
68600,0.7617,0.8233,0.8078
68700,0.7618,0.8237,0.8080
68800,0.7616,0.8232,0.8078
68900,0.7617,0.8233,0.8073
69000,0.7616,0.8236,0.8070
69100,0.7615,0.8237,0.8071
69200,0.7615,0.8239,0.8063
69300,0.7614,0.8239,0.8059
69400,0.7614,0.8241,0.8058
69500,0.7614,0.8239,0.8058
69600,0.7614,0.8239,0.8058
69700,0.7615,0.8239,0.8058
69800,0.7616,0.8241,0.8057
69900,0.7615,0.8240,0.8055
70000,0.7615,0.8241,0.8056
70100,0.7615,0.8243,0.8057
70200,0.7615,0.8244,0.8057
70300,0.7616,0.8245,0.8058
70400,0.7617,0.8248,0.8062
70500,0.7615,0.8249,0.8061
70600,0.7616,0.8247,0.8058
70700,0.7616,0.8247,0.8058
70800,0.7616,0.8244,0.8059
70900,0.7615,0.8243,0.8058
71000,0.7615,0.8243,0.8059
71100,0.7614,0.8241,0.8058
71200,0.7614,0.8241,0.8057
71300,0.7614,0.8242,0.8059
71400,0.7614,0.8240,0.8058
71500,0.7614,0.8240,0.8057
71600,0.7614,0.8239,0.8056
71700,0.7614,0.8239,0.8056
71800,0.7614,0.8239,0.8054
71900,0.7613,0.8241,0.8056
72000,0.7613,0.8242,0.8054
72100,0.7612,0.8241,0.8051
72200,0.7612,0.8239,0.8050
72300,0.7613,0.8239,0.8049
72400,0.7613,0.8237,0.8050
72500,0.7613,0.8237,0.8052
72600,0.7613,0.8237,0.8052
72700,0.7614,0.8237,0.8049
72800,0.7613,0.8237,0.8051
72900,0.7614,0.8239,0.8052
73000,0.7614,0.8238,0.8053
73100,0.7614,0.8240,0.8053
73200,0.7615,0.8241,0.8052
73300,0.7615,0.8239,0.8051
73400,0.7615,0.8241,0.8052
73500,0.7615,0.8242,0.8053
73600,0.7615,0.8243,0.8052
73700,0.7615,0.8242,0.8054
73800,0.7615,0.8241,0.8053
73900,0.7614,0.8241,0.8050
74000,0.7614,0.8243,0.8046
74100,0.7615,0.8245,0.8047
74200,0.7616,0.8247,0.8047
74300,0.7616,0.8249,0.8048
74400,0.7615,0.8250,0.8046
74500,0.7615,0.8249,0.8048
74600,0.7616,0.8250,0.8048
74700,0.7616,0.8250,0.8047
74800,0.7616,0.8248,0.8044
74900,0.7616,0.8250,0.8044
75000,0.7616,0.8252,0.8043
75100,0.7615,0.8252,0.8042
75200,0.7615,0.8253,0.8043
75300,0.7615,0.8252,0.8042
75400,0.7615,0.8255,0.8043
75500,0.7614,0.8253,0.8041
75600,0.7615,0.8255,0.8042
75700,0.7615,0.8256,0.8040
75800,0.7615,0.8257,0.8038
75900,0.7614,0.8257,0.8036
76000,0.7614,0.8257,0.8038
76100,0.7614,0.8258,0.8036
76200,0.7614,0.8258,0.8037
76300,0.7613,0.8256,0.8035
76400,0.7614,0.8256,0.8035
76500,0.7614,0.8256,0.8038
76600,0.7613,0.8259,0.8038
76700,0.7614,0.8262,0.8038
76800,0.7613,0.8266,0.8040
76900,0.7612,0.8264,0.8039
77000,0.7611,0.8264,0.8036
77100,0.7611,0.8263,0.8036
77200,0.7611,0.8263,0.8035
77300,0.7611,0.8259,0.8034
